,Academia,Industry,Government,Total,PctAcad,PctInd,PctGov,PctAcadDiff,PctIndDiff,PctGovDiff
CV,107,49,6,162,0.66,0.3,0.04,-0.03,0.03,0.0
Robotics,61,13,1,75,0.81,0.17,0.01,0.12,-0.1,-0.02
NLP,96,58,2,156,0.62,0.37,0.01,-0.08,0.1,-0.02
RL,62,17,4,83,0.75,0.2,0.05,0.05,-0.07,0.01
Other,123,48,7,178,0.69,0.27,0.04,-0.0,-0.0,0.01
ImageRecognition,59,28,5,92,0.64,0.3,0.05,-0.05,0.03,0.02
SaliencyDetection,21,5,3,29,0.72,0.17,0.1,0.03,-0.1,0.07
ImageSegmentation,40,24,4,68,0.59,0.35,0.06,-0.11,0.08,0.03
ObjectTrackingAndOrReIdentification,37,16,2,55,0.67,0.29,0.04,-0.02,0.02,0.0
FacialRecognition,21,5,2,28,0.75,0.18,0.07,0.06,-0.09,0.04
AutonomousVehicles,21,10,3,34,0.62,0.29,0.09,-0.08,0.02,0.05
ImageOrVideoGeneration,26,14,3,43,0.6,0.33,0.07,-0.09,0.06,0.04
CaptioningAndSummarization,15,5,2,22,0.68,0.23,0.09,-0.01,-0.04,0.06
Reconstruction,31,12,1,44,0.7,0.27,0.02,0.01,0.0,-0.01
CVOther,34,13,1,48,0.71,0.27,0.02,0.01,0.0,-0.01
Localization,11,0,0,11,1.0,0.0,0.0,0.31,-0.27,-0.03
Mapping,14,1,0,15,0.93,0.07,0.0,0.24,-0.2,-0.03
Manipulation,16,5,0,21,0.76,0.24,0.0,0.07,-0.03,-0.03
SimultaneousLocalizationAndMappingSlam,13,0,0,13,1.0,0.0,0.0,0.31,-0.27,-0.03
Navigation,21,2,0,23,0.91,0.09,0.0,0.22,-0.18,-0.03
AutonomousDriving,26,3,1,30,0.87,0.1,0.03,0.17,-0.17,-0.0
RobotPerception,29,6,0,35,0.83,0.17,0.0,0.13,-0.1,-0.03
ContinuousControl,28,3,3,34,0.82,0.09,0.09,0.13,-0.18,0.05
RobotOther,22,3,0,25,0.88,0.12,0.0,0.19,-0.15,-0.03
CommonSenseInference,11,13,1,25,0.44,0.52,0.04,-0.25,0.25,0.01
ComputerVisionAndNlp,22,11,1,34,0.65,0.32,0.03,-0.05,0.05,-0.0
CrossLingualTasks,17,6,1,24,0.71,0.25,0.04,0.01,-0.02,0.01
Dialogue,11,15,1,27,0.41,0.56,0.04,-0.29,0.29,0.0
InformationExtraction,30,28,2,60,0.5,0.47,0.03,-0.19,0.2,-0.0
LanguageAndKnowledgeBases,26,16,2,44,0.59,0.36,0.05,-0.1,0.09,0.01
LanguageModeling,46,28,2,76,0.61,0.37,0.03,-0.09,0.1,-0.01
MachineTranslation,16,8,1,25,0.64,0.32,0.04,-0.05,0.05,0.01
NamedEntityRecognition,22,20,2,44,0.5,0.45,0.05,-0.19,0.18,0.01
OpticalCharacterRecognitionOcr,5,4,1,10,0.5,0.4,0.1,-0.19,0.13,0.07
NLPOther,26,14,0,40,0.65,0.35,0.0,-0.04,0.08,-0.03
PartOfSpeechTagging,14,9,1,24,0.58,0.38,0.04,-0.11,0.1,0.01
QuestionAnswering,15,15,1,31,0.48,0.48,0.03,-0.21,0.21,-0.0
SentimentAnalysis,26,20,1,47,0.55,0.43,0.02,-0.14,0.16,-0.01
Summarization,13,17,1,31,0.42,0.55,0.03,-0.27,0.28,-0.0
TextClassification,36,26,2,64,0.56,0.41,0.03,-0.13,0.14,-0.0
TextGeneration,23,17,1,41,0.56,0.41,0.02,-0.13,0.14,-0.01
ProgramLearning,16,2,2,20,0.8,0.1,0.1,0.11,-0.17,0.07
EnvironmentsWithLanguage,7,3,0,10,0.7,0.3,0.0,0.01,0.03,-0.03
ProcedurallyGeneratedEnvironments,7,2,0,9,0.78,0.22,0.0,0.08,-0.05,-0.03
GamePlaying,10,4,1,15,0.67,0.27,0.07,-0.03,-0.0,0.03
3DWorlds,4,4,1,9,0.44,0.44,0.11,-0.25,0.17,0.08
RLOther,22,8,0,30,0.73,0.27,0.0,0.04,-0.0,-0.03
SimulationDesign,13,6,3,22,0.59,0.27,0.14,-0.1,0.0,0.1
RecommenderSystems,28,22,2,52,0.54,0.42,0.04,-0.16,0.15,0.0
Speech,5,6,0,11,0.45,0.55,0.0,-0.24,0.28,-0.03
TimeSeriesData,49,23,3,75,0.65,0.31,0.04,-0.04,0.04,0.01
MusicAndAudio,7,5,0,12,0.58,0.42,0.0,-0.11,0.15,-0.03
GraphAnalysis,33,13,2,48,0.69,0.27,0.04,-0.01,0.0,0.01
AlgorithmicOrArchitectureAnalysis,53,23,5,81,0.65,0.28,0.06,-0.04,0.01,0.03
NoneOfThese,30,6,2,38,0.79,0.16,0.05,0.1,-0.11,0.02
